poultry_establishment_id,full_establishment_id,name,address,city,state,zip,grant_date,activities,dba,district,circuit,establishment_size,processed_volume_category,slaughter_volume_category,active
P1,M7478 + P1,Tyson Foods,704 Factory Street,Wilkesboro,NC,28697,,"Poultry Processing, Poultry Slaughter","Tyson Farms, Inc.",80,8007,Large,5,5,true
P10017,M10017 + P10017,Bert Hazekamp & Son,3933 South Brooks Road,Muskegon,MI,49444,,"Meat Processing, Poultry Processing",Hazekamp Meats; Hazekamp Wholesale Meats,50,5009,Small,4,,true
P1009,P1009,Wayne Farms,2301 East 8th Street,Danville,AR,72833,2019-02-04 00:00:00 UTC,"Poultry Processing, Poultry Slaughter","",35,3514,Large,5,5,true
P1015,M1015 + P1015,Table Trust Brands,247 Empire Drive,Mifflintown,PA,17059,,"Meat Processing, Poultry Processing, Poultry Slaughter",Alle; Empire Kosher; Galil; Kosher Valley,60,6005,Large,5,5,true
P1049,M751 + P1049,Pitman Farms (Moroni Turkey Processing),350 South 300 West,Moroni,UT,84646,,"Meat Processing, Poultry Processing, Poultry Slaughter","Norbest, LLC; Pitman Farms Utah Division",15,1532,Small,5,4,true
P1096A,P1096A,VPGC,6349 RAWLEY PIKE,HINTON,VA,22831,2009-04-05 00:00:00 UTC,"Poultry Processing, Poultry Slaughter","",80,8008,Small,5,4,true
P11078,M11078 + P11078,Commodity Sales,517 Clarence St,Los Angeles,CA,90033,1995-06-10 00:00:00 UTC,"Meat Processing, Poultry Processing","",5,535,Small,3,,true
P112,M112 + P112,Tyson Foods,601 Tyson Drive,Green Forest,AR,72638,2017-06-11 00:00:00 UTC,"Poultry Processing, Poultry Slaughter","Tyson Foods , Inc. M112/P112",35,3502,Large,5,5,true
P1137,P1137,Tyson Foods,1200 West Kingsbury Street,Seguin,TX,78155,,"Poultry Processing, Poultry Slaughter","TSD Sales and Distribution; Tyson Farms, Inc.; Tyson Fresh Meats",40,4040,Large,5,5,true
P11507,M11507 + P11507 + V11507,Perdue Foods,2300 Industrial Dr,Monterey,TN,38574,2018-10-12 00:00:00 UTC,"Meat Processing, Poultry Processing, Voluntary Processing - Meat, Voluntary Processing - Poultry, Voluntary Slaughter - Meat, Voluntary Slaughter - Poultry",Chef - Quik; Coleman Natural Foods; Gol-Pak; Harvestland,90,9027,Large,4,,true
P11509,M11509 + P11509,OK Foods,130 Quality Drive,Albertville,AL,35950,,"Meat Processing, Poultry Processing",Bachoco,90,9012,Small,4,,true
P1174,P1174 + V1174,RCF,641 Holly Street NE,Decatur,AL,35601,,"Identification - Poultry, Poultry Processing",Gemstone Foods LLC,90,9010,Small,3,,true
P1174B,P1174B,Gemstone Foods,805 MCENTIRE ROAD,DECATUR,AL,35601,,Poultry Processing,"",90,9010,Small,4,,true
P1201,P1201,Pilgrim's Pride,484 Zimmerman Road,Sanford,NC,27330,,"Poultry Processing, Poultry Slaughter","",80,8010,Large,5,5,true
